AccountReportingLineKey,ReportingLineCode,RecordStatusKey,ReportingLineName,ReportingLineDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
169,ARL000169,4,Riverton AccountReportingLine 169,AccountReportingLine starter record 169,Finley Khan,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,ARL000170,1,Beacon AccountReportingLine 170,AccountReportingLine starter record 170,Alex Singh,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,ARL000171,1,Vertex AccountReportingLine 171,AccountReportingLine starter record 171,Quinn Hughes,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,ARL000172,1,Quartz AccountReportingLine 172,AccountReportingLine starter record 172,Alex Evans,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,ARL000173,3,Ion AccountReportingLine 173,AccountReportingLine starter record 173,Devon Diaz,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,ARL000174,3,Beacon AccountReportingLine 174,AccountReportingLine starter record 174,Devon Hughes,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,ARL000175,3,Keystone AccountReportingLine 175,AccountReportingLine starter record 175,Jordan Evans,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
176,ARL000176,3,Titan AccountReportingLine 176,AccountReportingLine starter record 176,Jordan Reed,2020-06-25,2021-06-25,1,1,1,2026-08-24T00:00:00.000
177,ARL000177,2,Pioneer AccountReportingLine 177,AccountReportingLine starter record 177,Jordan Hughes,2020-06-26,2021-06-26,1,1,1,2026-08-24T00:00:00.000
178,ARL000178,4,Meridian AccountReportingLine 178,AccountReportingLine starter record 178,Jordan Bennett,2020-06-27,2021-06-27,1,1,1,2026-08-24T00:00:00.000
179,ARL000179,1,Junction AccountReportingLine 179,AccountReportingLine starter record 179,Taylor Hughes,2020-06-28,2021-06-28,1,1,1,2026-08-24T00:00:00.000
180,ARL000180,3,Ion AccountReportingLine 180,AccountReportingLine starter record 180,Devon Singh,2020-06-29,2021-06-29,0,1,1,2026-08-24T00:00:00.000
181,ARL000181,4,Evergreen AccountReportingLine 181,AccountReportingLine starter record 181,Jordan Patel,2020-06-30,2021-06-30,1,1,1,2026-08-24T00:00:00.000
182,ARL000182,4,Junction AccountReportingLine 182,AccountReportingLine starter record 182,Morgan Khan,2020-07-01,2021-07-01,1,1,1,2026-08-24T00:00:00.000
183,ARL000183,4,Delta AccountReportingLine 183,AccountReportingLine starter record 183,Morgan Bennett,2020-07-02,2021-07-02,1,1,1,2026-08-24T00:00:00.000
184,ARL000184,2,Ion AccountReportingLine 184,AccountReportingLine starter record 184,Blair Garcia,2020-07-03,2021-07-03,1,1,1,2026-08-24T00:00:00.000
185,ARL000185,3,Unity AccountReportingLine 185,AccountReportingLine starter record 185,Emerson Adams,2020-07-04,2021-07-04,0,1,1,2026-08-24T00:00:00.000
186,ARL000186,3,Willow AccountReportingLine 186,AccountReportingLine starter record 186,Finley Khan,2020-07-05,2021-07-05,1,1,1,2026-08-24T00:00:00.000
187,ARL000187,1,Harbor AccountReportingLine 187,AccountReportingLine starter record 187,Morgan Bennett,2020-07-06,2021-07-06,1,1,1,2026-08-24T00:00:00.000
188,ARL000188,3,Liberty AccountReportingLine 188,AccountReportingLine starter record 188,Jordan Adams,2020-07-07,2021-07-07,1,1,1,2026-08-24T00:00:00.000
189,ARL000189,4,Vertex AccountReportingLine 189,AccountReportingLine starter record 189,Devon Khan,2020-07-08,2021-07-08,1,1,1,2026-08-24T00:00:00.000
190,ARL000190,1,Unity AccountReportingLine 190,AccountReportingLine starter record 190,Finley Garcia,2020-07-09,2021-07-09,0,1,1,2026-08-24T00:00:00.000
191,ARL000191,3,Harbor AccountReportingLine 191,AccountReportingLine starter record 191,Morgan Adams,2020-07-10,2021-07-10,1,1,1,2026-08-24T00:00:00.000
192,ARL000192,1,Harbor AccountReportingLine 192,AccountReportingLine starter record 192,Morgan Martin,2020-07-11,2021-07-11,1,1,1,2026-08-24T00:00:00.000
193,ARL000193,2,Cedar AccountReportingLine 193,AccountReportingLine starter record 193,Riley Adams,2020-07-12,2021-07-12,1,1,1,2026-08-24T00:00:00.000
194,ARL000194,4,Cedar AccountReportingLine 194,AccountReportingLine starter record 194,Jordan Bennett,2020-07-13,2021-07-13,1,1,1,2026-08-24T00:00:00.000
195,ARL000195,2,Delta AccountReportingLine 195,AccountReportingLine starter record 195,Riley Chen,2020-07-14,2021-07-14,0,1,1,2026-08-24T00:00:00.000
196,ARL000196,2,Evergreen AccountReportingLine 196,AccountReportingLine starter record 196,Casey Martin,2020-07-15,2021-07-15,1,1,1,2026-08-24T00:00:00.000
197,ARL000197,3,Ion AccountReportingLine 197,AccountReportingLine starter record 197,Devon Khan,2020-07-16,2021-07-16,1,1,1,2026-08-24T00:00:00.000
198,ARL000198,1,Zenith AccountReportingLine 198,AccountReportingLine starter record 198,Finley Diaz,2020-07-17,2021-07-17,1,1,1,2026-08-24T00:00:00.000
199,ARL000199,2,Northstar AccountReportingLine 199,AccountReportingLine starter record 199,Morgan Singh,2020-07-18,2021-07-18,1,1,1,2026-08-24T00:00:00.000
200,ARL000200,2,Beacon AccountReportingLine 200,AccountReportingLine starter record 200,Finley Khan,2020-07-19,2021-07-19,0,1,1,2026-08-24T00:00:00.000
